-1345	247	-3137	879	2860	-877	-1952	-10490
-1337	277	-2938	2941	2747	-912	-2237	-14221
-1285	289	-2687	4473	2738	-893	-2073	-10768
-1371	242	-3035	2092	2778	-957	-1960	-7449
-1361	225	-3438	-1212	2651	-858	-1477	-2828
-1393	107	-4047	-5479	2828	-716	-424	4364
-1465	35	-4687	-9635	2831	-732	-175	7318
-1401	66	-4877	-11342	2878	-667	-111	7121
-1460	73	-4401	-8079	2812	-702	-378	5078
-1402	170	-4023	-3158	2787	-730	-598	2059
-1451	123	-3969	-1611	2765	-702	-388	2502
-1355	144	-3825	577	2807	-742	-699	-119
-1401	102	-4031	-535	2780	-720	-606	670
-1397	56	-4287	-3248	2771	-752	-806	-274
-1429	134	-3879	-1821	2772	-861	-1392	-4301
-1387	169	-3868	-377	2729	-871	-1776	-6375
-1337	186	-3735	929	2817	-901	-1648	-6307
-1402	110	-4063	-831	2818	-845	-1738	-6063
-1365	97	-4460	-3835	2795	-890	-1977	-5837
-1356	45	-4230	-3430	2859	-927	-2577	-7901
-1389	80	-4302	-2461	2776	-847	-1876	-5323
-1331	74	-4565	-4295	2747	-783	-1505	901
-1413	62	-4397	-3372	2797	-823	-1436	952
-1398	41	-4762	-4275	2820	-791	-1073	2669
-1477	-38	-5216	-7344	2759	-655	-30	8216
-1469	-55	-5870	-10873	2733	-610	995	15240
-1489	-143	-6007	-11932	2848	-587	1331	17115
-1533	-127	-6095	-10904	2989	-514	1405	15404
-1458	-147	-6072	-9623	2885	-515	1295	12904
-1489	-103	-5415	-5085	2800	-587	1026	7639
-1433	14	-4839	77	2787	-543	547	4123
-1453	77	-3675	7102	2665	-896	-2101	-13216
-1277	205	-2797	14070	2680	-938	-2772	-21496
-1277	209	-2343	15938	2690	-968	-3020	-20029
-1288	300	-2344	14066	2685	-975	-3658	-20562
-1292	281	-2603	10297	2752	-935	-3358	-16840
-1321	139	-3490	2442	2763	-934	-3160	-10989
-1327	66	-4089	-4239	2779	-956	-2857	-7491
-1404	-45	-4767	-8907	2807	-907	-2544	-3319
-1401	-76	-5255	-11934	2908	-920	-2069	386
-1426	-89	-5574	-13805	2833	-803	-1720	3906
-1453	-166	-6094	-14928	2895	-794	-1468	4675
-1419	-167	-6182	-14112	2939	-687	-543	8182
